INFO 2024-10-25 04:42:30,814 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-25 04:42:30,815 autoreload Waiting for apps ready_event.
DEBUG 2024-10-25 04:42:31,003 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-25 04:42:31,018 autoreload Watching dir /home/pi/rasp/rfid/templates with glob **/*.
DEBUG 2024-10-25 04:42:31,019 autoreload Watching dir /home/pi/rasp/locale with glob **/*.mo.
DEBUG 2024-10-25 04:42:31,021 autoreload Watching dir /home/pi/rasp/rfid/locale with glob **/*.mo.
DEBUG 2024-10-25 04:42:31,076 autoreload File /usr/local/lib/python3.11/dist-packages/django/contrib/contenttypes/forms.py first seen with mtime 1729474561.399732
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/local/lib/python3.11/dist-packages/django/contrib/auth/checks.py first seen with mtime 1729474561.3637311
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/local/lib/python3.11/dist-packages/django/core/files/storage/base.py first seen with mtime 1729474561.639738
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/lib/python3.11/asyncio/base_futures.py first seen with mtime 1724656854.0
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/local/lib/python3.11/dist-packages/django/templatetags/i18n.py first seen with mtime 1729474561.6877391
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/lib/python3.11/_compat_pickle.py first seen with mtime 1724656854.0
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/local/lib/python3.11/dist-packages/django/conf/__init__.py first seen with mtime 1729474561.1677263
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/lib/python3.11/collections/abc.py first seen with mtime 1724656854.0
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/local/lib/python3.11/dist-packages/django/template/defaultfilters.py first seen with mtime 1729474561.6877391
DEBUG 2024-10-25 04:42:31,077 autoreload File /usr/lib/python3.11/http/__init__.py first seen with mtime 1724656854.0
DEBUG 2024-10-25 04:42:31,078 autoreload File /usr/lib/python3.11/lib-dynload/_ssl.cpython-311-aarch64-linux-gnu.so first seen with mtime 1724656854.0
DEBUG 2024-10-25 04:42:31,078 autoreload File /usr/local/lib/python3.11/dist-packages/django/db/models/base.py first seen with mtime 1729474561.6637387
DEBUG 2024-10-25 04:42:31,078 autoreload File /usr/local/lib/python3.11/dist-packages/django/core/management/__init__.py first seen with mtime 1729474561.643738
DEBUG 2024-10-25 04:42:31,078 autoreload File /usr/local/lib/python3.11/dist-packages/django/http/request.py first seen with mtime 1729474561.6837392
DEBUG 2024-10-25 04:42:31,078 autoreload File /usr/local/lib/python3.11/dist-packages/django/core/mail/message.py first seen with mtime 1729474561.639738
DEBUG 2024-10-25 04:42:31,078 autoreload File /usr/lib/python3.11/wsgiref/headers.py first seen with mtime 1724656854.0
